Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct
ABBREVIATE means,to shorten,wonderful,deserving blame,the least valuable part,a
DURESS means,pressure or force,short rest,in name only,the least valuable part,a
IMPERMANENT means,not lasting,unclear or hard to understand,next to,deserving blame,a
OBSOLETE means,cancel,exciting and joyful,gloomy,out of date,d
REPREHENSIBLE means,great laughter,deserving blame,to shorten,wonderful,b
ADJACENT means,paying close attention,run quickly,next to,wonderful,c
ELAPSE means,unclear or hard to understand,to pass (time),unique,formal speech,b
IMPROVISE means,quick attack,make up on the spot,able to live or work,next to,b
OPPONENT means,possible ability,producing much,someone on the other side,level line,c
REPRESS means,next to,cancel,to hold back,someone on the other side,c
ARBITRARY means,very strange,based on random choice,formal speech,unique,b
EMINENT means,moral principles,famous and respected,flashy and showy,to prevent,b
INCOHERENT means,make young again,unclear or hard to understand,kingdom or area,pull attention away,b
ORATION means,lower in rank,full of joy,formal speech,able to live or work,c
RESPITE means,shortness,short rest,break a rule,collection of myths,b
ASSAIL means,attack violently,very strange,make up on the spot,flinch in pain,a
ENGROSS means,totally absorb,someone on the other side,shortness,never giving up,a
INHIBIT means,easy to see,to damage,to hold back,third,c
PALTRY means,full of joy,based on a guess,very small or worthless,gloomy,c
RETRACT means,to make or produce,to take back,hate,to damage,b
ATTENTIVE means,hard to see or understand,to pass (time),paying close attention,famous and respected,c
ETHICS means,moral principles,ordinary,make shorter or thicker,make young again,a
IRATE means,easy to see,ordinary,very angry,proposal,c
PERMEATE means,make young again,small leftover,spread through,short rest,c
REVERBERATE means,encourage growth of,short rest,echo back,possible ability,c
BADGER means,pester repeatedly,small leftover,written agreement,safe place,a
EXHILARATING means,collection of myths,exciting and joyful,level line,soak completely,b
JOSTLE means,push roughly,paying close attention,heat movement in fluids,far away,a
PERSISTENT means,never giving up,deep and meaningful,not lasting,short rest,a
RUSE means,wise and careful,to make up or invent,trick,make up on the spot,c
BIZARRE means,lower in rank,very strange,someone on the other side,far away,b
FABRICATE means,moral principles,safe place,producing much,to make up or invent,d
JUBILANT means,cancel,full of joy,distance around a circle,to damage,b
PLACATE means,never giving up,to calm down,to make up or invent,attack violently,b
SANCTUARY means,safe place,trick,great laughter,producing much,a
BREVITY means,shortness,make up on the spot,unfriendly,level line,a
FABULOUS means,"rain, snow, etc.",thrifty,wonderful,to hold back,c
LINGUISTIC means,totally absorb,heat movement in fluids,push roughly,related to language,d
POTENTIAL means,possible ability,echo back,unclear or hard to understand,introduction,a
SATURATE means,make shorter or thicker,flashy and showy,introduction,soak completely,d
CIRCUMFERENCE means,kingdom or area,third,distance around a circle,in name only,c
FITFUL means,irregular,formal speech,able to live or work,run quickly,a
MAMMOTH means,to hold back,basic idea,lower in rank,huge,d
PRECIPITATION means,to make up or invent,easy to see,to hold back,"rain, snow, etc.",d
SCAMPER means,third,heat movement in fluids,run quickly,to pass (time),c
COMPANIONSHIP means,deep and meaningful,introduction,moral principles,friendship,d
FLAMBOYANT means,flashy and showy,unique,moral principles,make up on the spot,a
MANUFACTURE means,wonderful,make shorter or thicker,quick attack,to make or produce,d
PRECLUDE means,to prevent,push roughly,make up on the spot,related to language,a
SINGULAR means,to pass (time),make up on the spot,hate,unique,d
COMPOSURE means,calmness,based on random choice,make up on the spot,thrifty,a
FLOURISH means,very strange,grow well,to damage,in name only,b
MAR means,to damage,next to,ordinary,hate,a
PRELUDE means,introduction,exciting and joyful,to calm down,person who entertains guests,a
SLAKE means,calmness,to satisfy thirst,totally absorb,person who entertains guests,b
CONDENSE means,to hold back,hard to see or understand,pressure or force,make shorter or thicker,d
FOSTER means,encourage growth of,lower in rank,to hold back,push roughly,a
