Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct
DETECT,to find,to hide,to enjoy,to make up,a
SELECT,find,review,read,choose,d
VENOMOUS,vicious,poisonous,sharp,huge,b
BAGGY,loose,brown,too small,made of cotton,a
ENCOURAGE,fascinate,worry,cheer up,disappoint,c
CONDUCTOR,driver,janitor,owner,rider,a
MATURE,grown-up,dying,new,green,a
ELATED,grim,joyful,outside,unpleasant,b
IRRITATED,excited,helpful,annoyed,boring,c
VEHICLE,runner,animal,car,computer,c
HEALTHY,slow,well,active,ill,b
CONFERENCE,party,game,meeting,race,c
BEAUTIFUL,pretty,interesting,colorful,light,a
REPAIR,clean,drive,fix,sell,c
THIN,short,skinny,long,wide,b
RUSH,relax,slow,finish,hurry,d
RAW,uncooked,green,smelly,young,a
DIM,dull,bright,unintelligent,new,a
QUICKLY,confidently,carefully,rapidly,happily,c
